experience,formal_study,js_experience,rn_familiarity,stack_overflow,blog,microblog,online_class,book,peer_discussion,hackathon,professional_workshop,university_class,documentation,reference_implementation,source_code,chat,percent_time_spent_learning,best_tool,how_soon_was_it_used,was_learning_in_response_to_change,completed_learning_unit,needs_satisfied
I work as a developer,Yes,I've used it extensively,"I've looked at it, but not really worked with it",1,1,1,1,1,1,0,1,1,1,1,0,0,0.5,0,Immediately,No,0,5
I code for work sometimes,Yes,I've used it some,"I've looked at it, but not really worked with it",1,0,1,1,0,0,0,0,0,0,0,0,0,0.3,3,It was within a day or so,No,0,3
I work as a developer,Yes,I've used it extensively,I've done a few projects with it,1,0,0,1,1,1,1,1,1,1,1,0,0,0.8,4,Immediately,No,1,5
I work as a developer,Yes,I've used it extensively,"I've looked at it, but not really worked with it",1,0,0,1,1,0,0,0,1,1,0,0,0,0.1,0,It was within a day or so,Yes,1,3
I code for work sometimes,No,I've used it some,"I've looked at it, but not really worked with it",1,1,0,1,0,1,0,0,0,1,1,0,0,0.1,0,Immediately,Yes,0,5
I work as a developer,Yes,I've used it extensively,"I've looked at it, but not really worked with it",1,1,0,0,0,1,0,0,0,1,1,0,0,0.05,1,It was within a day or so,No,1,4
I code for work sometimes,Yes,I've used it some,"I've looked at it, but not really worked with it",1,1,0,1,0,0,0,0,0,1,0,0,0,0.05,0,Immediately,No,0,4
I work as a developer,Yes,I've used it extensively,"I've looked at it, but not really worked with it",0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,5,I haven't used it yet,No,0,2
I code for work sometimes,No,I've used it some,"I've looked at it, but not really worked with it",0,1,0,1,0,0,0,0,0,0,0,0,0,0.1,3,I haven't used it yet,Yes,0,3
I work as a developer,Yes,I've used it some,"I've looked at it, but not really worked with it",1,0,0,1,1,1,0,1,1,1,1,0,0,0.2,5,Many days later,Yes,1,4
I work as a developer,Yes,I've used it some,"I've looked at it, but not really worked with it",1,1,0,0,0,0,0,0,0,1,0,0,0,0.5,1,Immediately,Yes,1,5
I work as a developer,No,I've used it extensively,I've done a few projects with it,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,3,"I was already using it, but I learned more",Yes,1,3
I work as a developer,Yes,I've used it extensively,I use it most days,1,1,1,0,0,1,0,0,0,1,1,1,0,0.3,7,Immediately,No,0,3
I work as a developer,No,I prefer to use JavaScript,I use it most days,1,1,1,1,0,0,0,0,0,1,1,0,0,0.2,1,Immediately,No,1,4
I'm working towards a career that includes coding,No,I've used it extensively,I've done a few projects with it,1,1,0,0,0,0,0,0,0,1,0,0,0,0.3,5,Immediately,No,0,4
I work as a developer,Yes,I've used it extensively,I use it most days,0,1,1,0,0,0,0,0,0,1,1,0,0,0.05,2,Many days later,No,0,4
I work as a developer,Yes,I prefer to use JavaScript,I've worked on a single project in it,1,1,0,0,0,1,0,0,0,1,1,0,1,0.5,4,Immediately,No,0,4
I work as a developer,Yes,I've used it extensively,I've done a few projects with it,1,1,0,0,0,0,0,0,0,1,1,0,0,0.3,6,It was within a day or so,No,1,4
I work as a developer,Yes,I've used it some,"I've looked at it, but not really worked with it",1,1,0,0,1,0,0,0,0,0,0,0,0,0.05,0,Immediately,Yes,0,3
